Rose Queen	BP01-001	Forest	Follower	8	7/7	Plantfolk	LG	Fanfare: Choose any number of followers with the <Fairy> trait in your EX Area. Transform them into Thorn Bursts.  Main Phase: [Act this card]: Recover X play points. X equals the number of Thorn Bursts in your EX Area.    [Thorn Bursts are 2pp Forest <Plantfolk> spells with "Choose an enemy leader or enemy follower. Deal 3 damage to it. Draw a card."]
Ancient Elf	BP01-002	Forest	Follower	2	2/2	Elf	LG	Evolve (1): Evolve this follower.  [Ward]  Fanfare: [Return another card in play to the hand]: Gain +1/+1. (Token cards that are returned to the hand are removed from the game)
Ancient Elf (Evolved)	BP01-003	Forest	Follower / Evolve	-	3/3	Elf	LG	[Ward]  Evolve: [Return another card in play to the hand]: Gain +1/+1.
Rhinoceroach	BP01-004	Forest	Follower	2	1/1	Insect	GR	Evolve (0): Evolve this follower.  [Rush]  Fanfare: Gain +X attack. X equals the number of other cards played this turn.
Rhinoceroach (Evolved)	BP01-005	Forest	Follower / Evolve	-	1/1	Insect	GR	Evolve: Choose one of the following: [1] Gain [Storm]. [2] Choose an enemy follower. Deal X damage to it. X equals this follower's attack.
Robin Hood	BP01-006	Forest	Follower	5	4/5	Hunter	GR	Fanfare: Choose an enemy follower. Deal 4 damage to it.  Main Phase: [Pay 1pp & Act this card]: Choose an enemy follower. Deal 4 damage to it.
Silver Bolt	BP01-007	Forest	Spell	7	-	Elf	GR	[Quick]  Choose an enemy leader or enemy follower. Draw a card. Deal X damage to it. X equals the number of cards in your hand.
Homecoming	BP01-008	Forest	Spell	3	-	Elf	GR	Choose an enemy follower. That player puts it on the top or bottom of their deck. [Combo_5] Choose all enemy followers instead. (Token cards that are returned to the deck are removed from the game)
Elven Princess Mage	BP01-009	Forest	Follower	3	3/3	Elf / Princess	SR	Evolve (1): Evolve this follower.
Elven Princess Mage (Evolved)	BP01-010	Forest	Follower / Evolve	-	4/4	Elf / Princess	SR	Evolve: Put 2 Fairy Wisps into your EX Area.    [Fairy Wisps are 0pp 1/1 Forest <Fairy> followers.]
Blessed Fairy Dancer	BP01-011	Forest	Follower	2	2/3	Fairy	SR	Fanfare: Give all other allied <Fairy> followers and all <Fairy> followers in your EX Area +1/+1.
Elf Child May	BP01-012	Forest	Follower	1	1/1	Elf	SR	When this card is returned to your hand from play, choose an enemy follower. Deal 1 damage to it.   Fanfare: Choose an enemy follower. Deal 1 damage to it.
Fairy Beast	BP01-013	Forest	Follower	5	5/5	Fairy / Beast	SR	Main Phase: [Banish a <Fairy> follower from your EX Area]: Add 3 to your leader's defense. Draw a card. This ability can only be used once per turn.
Noble Fairy	BP01-014	Forest	Follower	3	3/3	Fairy / Princess	SR	[Ward]  Fanfare: [Combo_3] Choose an enemy follower. Destroy it. Your opponent summons a Fairy.    [Fairies are 1pp 1/1 Forest <Fairy> followers.]
Nature's Guidance	BP01-015	Forest	Spell	1	-	Fairy	SR	Choose an allied card in play. Return it to your hand. Draw a card. (Token cards that are returned to the hand are removed from the game)
Harvest Festival	BP01-016	Forest	Amulet	1	-	Elf	SR	When this amulet leaves play, draw a card.  Main Phase: [Pay 1pp & Act this card & Put it into your graveyard]: Add 1 to your leader's defense.
Elf Metallurgist	BP01-017	Forest	Follower	2	3/2	Elf	BR	Fanfare: Choose an enemy follower. Deal 1 damage to it. [Combo_3] Deal 3 damage instead.
